// todo: check some dates
0?,??,Lecturer,permanent,Helsinki University of Technology
0?,??,Lecturer,on leave,Helsinki University of Technology
0?,??,Researcher,contract,Helsinki University of Technology
0?,??,Lecturer,resigned,Helsinki University of Technology
06,06,Researcher,resigned,,Helsinki University of Technology
06,09,Professor,contract,Universidad Autónoma de Nuevo León
??,??,Research coordinator,appointment,Universidad Autónoma de Nuevo León
??,??,Professor,permanent,Universidad Autónoma de Nuevo León 
??,??,Research coordinator,declined reappointment,Universidad Autónoma de Nuevo León
22,05,Associate Professor,contract,McGill University
22,05,Academic Director,appointment,McGill University
22,05,Academic Director,declined reappointment,McGill University
24,05,Associate Professor,permanent,McGill University
24,06,Associate Professor,resigned,McGill University
24,07,Dean of Technology,permanent,Collège LaSalle Montréal
