76,Fi,,DFi
77,,,DFi2Ge
78,Ge,,DFi30Ge
79,Fi,,DFi2Ge
83.9,,,,PS
85.9,,,DFi2Ge5En
89.9,,,DFi2Ge5En3Sw
90.9,,,DFi5Ge7En5Sw
91.9,,,,HS
93.9,US,OK,5Fi3GeDEn0Sw
94.9,Fi,,DFi4Ge10En6Sw
96.9,,,DFi1Ge20En2Sw
98.9,,,DFi4Ge21En4Sw
00.9,,,DFi1Ge22En2Sw4Sp
01.9,,,DFi1Ge23En2Sw5Sp
02.9,,,DFi1Ge24En2Sw6Sp
03.9,,,DFi1Ge26En2Sw8Sp
04.9,,,DFi1Ge32En2Sw10Sp
05.2,Ch,,,20Fi1Ge30En1SwDSp
06,Fi,,,DFi1Ge35En1Sw20Sp
06.7,Me,NL,10Fi1Ge30En1SwDSp
07,,,8Fi1Ge28En1SwDSp
08,,,N6Fi1Ge27En1SwDSp
09,,,4Fi1Ge26En1SwDSp
10,,,3Fi1Ge25En1SwDSp
11,,,3Fi1Ge25En1SwDSp
13.5,Fi,,DFi1Ge30En1Sw25Sp
14,,,DFi1Ge30En1Sw25SpOt2
14.5,Me,NL,5Fi1Ge28En1SwDSpOt2
15,,,4Fi1Ge27En1SwDSpOt2
15,,,3Fi1Ge26En1SwDSpOt2
16,,,3Fi1Ge25En1SwDSpOt2
19,,,3Fi1Ge27En1SwDSpOt2
20,,,3Fi1Ge28En1SwDSpOt2
21,,,3Fi1Ge29En1SwDSpOt2
22.5,Ca,QC,3Fi1GeDEn1Sw20Sp10FrOt2
23,,,3Fi1GeDEn1Sw10Sp15FrOt2
24.6,,,3Fi1GeDEn1Sw5Sp40FrOt2
25,,,3Fi1GeDEn1Sw5Sp50FrOt2
25.5,,,3Fi1GeDEn1Sw5Sp60FrOt2
